,master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,master_metadata_album_artist_name
8724,Stay Alive (feat. Fat Nick),Stay Alive (feat. Fat Nick),spotify:track:0NtYGyNUHAvdjI4nlYGRMw,BEXEY
8754,Keene Probleme - Instrumental,Royal Bunker,spotify:track:2fLMgmCMInL1mupoACMRiq,Kool Savas
8755,Alles noch beim Alten - Instrumental,Royal Bunker,spotify:track:50Eri1dlklZgMw5m49jLmD,Kool Savas
8757,Jedes Wort ist Gold wert - Instrumental,Royal Bunker,spotify:track:6pnkMYsArZo9EzVn0K1e11,Kool Savas
8780,Kapitel 270 - Cashflow Quadrant: Rich Dad Poor Dad,Cashflow Quadrant: Rich Dad Poor Dad,spotify:track:0x2xQJPc1FzbWz0t6MW9X3,Robert T. Kiyosaki
8859,Superstar,808,spotify:track:1O2asuUj7Rpl52pXWwK2qK,Ufo361
8867,808,808,spotify:track:1zESrnRWYKHXKFWZTDdu2C,Ufo361
8922,Kapitel 41 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:4Yvy2crJEUqwhhUuAXsZwB,Stefan Merath
8925,Kapitel 46 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:0jBpXuS2b39Ay8IyLjSNl2,Stefan Merath
8926,Kapitel 47 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:2R30NDfZSq7s3LRKqEZFsc,Stefan Merath
8927,Kapitel 48 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:7vPLhYkR5BqCWTLSdydneW,Stefan Merath
8928,Kapitel 49 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:0KZ3RCW7bkfxXSDexmHJRG,Stefan Merath
8929,Kapitel 50 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:4xysrq4omSDJLqeL5U02Jj,Stefan Merath
8930,Kapitel 51 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:2tCzsII5whtPaIJmsn9pfp,Stefan Merath
8931,Kapitel 52 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:1B8kvavCwUkeW7DbGs73BD,Stefan Merath
8939,Belle Etage 2.0 (feat. reezy),Powerbausa,spotify:track:4ZYGWjyAsl5TqyaQVNjF4e,Bausa
8941,FML,Powerbausa,spotify:track:1SJujqhfev83oHNuMrTast,Bausa
8945,Szenen im Hotel (feat. reezy),Powerbausa,spotify:track:5RB1IjXb7Exn3beDmgcsmC,Bausa
8946,Unterwegs (feat. Capital Bra),Powerbausa,spotify:track:29MUMRgt5eJa5YdZj4s7vT,Bausa
8947,Was kostet mich deine Liebe (feat. Joshi Mizu),Powerbausa,spotify:track:4zT5LN5Aqzgs19DMRRNPI8,Bausa
8948,Stoff,Powerbausa,spotify:track:1ejvGzDmcScxwUJxs1NMn8,Bausa
8951,Gib mir bös,Powerbausa,spotify:track:44qajJE1oc5qq5k8HlzkXp,Bausa
8952,Belle Etage,Dreifarbenhaus,spotify:track:0xn1i1YqSvAqxFykOHe35p,Bausa
8953,Medusa,Dreifarbenhaus,spotify:track:5MC33nfOHU4jGw0L0YfCml,Bausa
8958,Eisblau (Skit),Powerbausa,spotify:track:7f972tFTYw1deVfkgqPuC8,Bausa
8960,In Berlin (feat. Nura),Powerbausa,spotify:track:36jLyaYGwrlOz0fpQzQzIm,Bausa
8963,Kleines Rad,Powerbausa,spotify:track:2aQKS0P4gGGeD0G7b4SidQ,Bausa
8964,Intro,Dreifarbenhaus,spotify:track:5WrshdlMBde5piM5VwVFsT,Bausa
8966,Wer bist du (feat. Bausa & Lativ),Ah!,spotify:track:7j3Sdx9daULkfylrjuvzGg,Rapsta
8967,Chabos,Unzensiert,spotify:track:2k1Ms4AnoAZtlBOtXd6pur,Haftbefehl
8969,Mensch sein,Meilenstein,spotify:track:5yOooPHIhU1YkWtewztnPz,Meezy
8970,euer vs ehren - RMX,euer vs ehren,spotify:track:5DGubmdLVOPsEubhPZ1TBm,Holy Modee
8972,Kleine,Kleine,spotify:track:11BzwzQUNvmiAAaIARaCRd,Marvin Game
8973,Cazal - Remix,Mele7,spotify:track:6jWw1CNK1lQ3gBbmV1slg4,Zuna
8978,Change the World,Change the World,spotify:track:0xpDj4FiSoIVsNR9uJHHuF,Fox Blanco
9017,Intro,Gebüsch,spotify:track:6HEvsk7thHpZtvCDuHXQwK,MC Bomber
9078,Kapitel 44 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:0mDhKYzIU3tdCXUf1VZQ5y,Stefan Merath
9079,Kapitel 45 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:2LTcieeJo6qBmWkySgzDOf,Stefan Merath
9131,Taxifahrer - Instrumental,Gebüsch,spotify:track:5B42alasyiJ2tEIQpiZFUe,MC Bomber
9132,Gehirnschrittmacher - Instrumental,Gebüsch,spotify:track:1r0xMZofPLkuo3aKOp5KsA,MC Bomber
9177,Kapitel 53 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:1qWit8sWmLrsG32g30vUos,Stefan Merath
9184,Wach auf,Kaviar & Toast,spotify:track:3qa2cuBnshbFmjC22ROgQP,Joshi Mizu
9255,Kapitel 54 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:4fXyWML5c5HMK2btxDZeZi,Stefan Merath
9256,Kapitel 55 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:10tQDCuprCSOUcHosKW29w,Stefan Merath
9257,Kapitel 56 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:03femDyY8VUAgXeeoMu7z0,Stefan Merath
9258,Kapitel 57 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:4RgYJEh1vDQPY3IqJahw2m,Stefan Merath
9259,Kapitel 58 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:0ARd7fdTteCPG6OyPDRVvC,Stefan Merath
9260,Kapitel 59 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:2Rx9bmMTptMAELupG2xMEc,Stefan Merath
9265,Kapitel 60 - Der Weg zum erfolgreichen Unternehmer,Der Weg zum erfolgreichen Unternehmer,spotify:track:3BKnkP5mIJ59V7KlCM6jfU,Stefan Merath
9266,Roli,Roli,spotify:track:7g469UXMGKeEBuxSXVbthJ,Luciano
9298,Augen auf,Ich & meine Maske,spotify:track:3nAJAotlLWvmSWHQ05D2ma,Sido
9300,30-11-80 - Live,30-11-80,spotify:track:1KVEwKvf9uR5Htix2VLxJs,Sido
9341,Back on the Porch,Rubba Band Business,spotify:track:3t6w9E3xXyDsriDpyJleb7,Juicy J
9342,Feed the Streets (feat. Project Pat & A$AP Rocky),Rubba Band Business,spotify:track:244nUC8shDAlJVplZ5j3Lk,Juicy J
9344,A Couple,Rubba Band Business,spotify:track:70nGih3Q2FS8PXvCqay8qf,Juicy J
9348,Buckets,Rubba Band Business,spotify:track:0eQEbzc86SUq9kKO4lddub,Juicy J
