uri,genre
spotify:artist:6M7RdR9ZP52h2mfNLmiHtU,edm
spotify:artist:6M7RdR9ZP52h2mfNLmiHtU,electro house
spotify:artist:6M7RdR9ZP52h2mfNLmiHtU,progressive electro house
spotify:artist:6M7RdR9ZP52h2mfNLmiHtU,brostep
spotify:artist:6M7RdR9ZP52h2mfNLmiHtU,electronic trap
spotify:artist:7KAGJwWQQui8b0uqwXRkSr,german pop
spotify:artist:7KAGJwWQQui8b0uqwXRkSr,german dance
spotify:artist:1Pev5OreOMyqbNsZTTdU1S,leipzig electronic
spotify:artist:12xme1fwd3iGEW7rF9b6tp,german pop
spotify:artist:2iUbk5KhZYZt4CRvWbwb7S,miami hip hop
spotify:artist:6c4sUNBgdonFJz8Kx2VsGz,norwegian hip hop
spotify:artist:4e0nWw2r4BoQSKPQ2zpU13,pop dance
spotify:artist:5slpk6nu2IwwKx0EHe3GcL,german pop
spotify:artist:5slpk6nu2IwwKx0EHe3GcL,indie viet
spotify:artist:6vNe5MINTo5QZyR08sBOBA,german dance
spotify:artist:61ipISvUVa5LkJlKZnm3Oo,deep euro house
spotify:artist:61ipISvUVa5LkJlKZnm3Oo,german dance
spotify:artist:67ghKnycRX6VM1xfqJSMlH,german dance
spotify:artist:7oaSITFPadI3fnIxbv7hTa,german pop
spotify:artist:5KnoVkIUGmK0PiDKMjz2LM,new french touch
spotify:artist:0Q9slhIaEgg190iG8udYIV,house
spotify:artist:0Q9slhIaEgg190iG8udYIV,uk dance
spotify:artist:2Z8ZYYqedbWaOlSsBRVlmQ,german pop
spotify:artist:1AgxgADPuRIW1wyaA4OKcB,british singer-songwriter
spotify:artist:07FfkbljNIdl45Ijlh1aXS,uk pop
spotify:artist:07FfkbljNIdl45Ijlh1aXS,indie anthem-folk
spotify:artist:1whjlG0NSaQytgDIWz10GS,acoustic pop
spotify:artist:2ErWLckuGFl84nGmg5fwyG,austrian indie
spotify:artist:2ErWLckuGFl84nGmg5fwyG,austrian pop
spotify:artist:2ErWLckuGFl84nGmg5fwyG,austropop
spotify:artist:7zrkALJ9ayRjzysp4QYoEg,electronica
spotify:artist:7zrkALJ9ayRjzysp4QYoEg,future garage
spotify:artist:7zrkALJ9ayRjzysp4QYoEg,indie soul
spotify:artist:42crL07E4WPfVovyUtMpvC,shimmer pop
spotify:artist:42crL07E4WPfVovyUtMpvC,indie poptimism
spotify:artist:42crL07E4WPfVovyUtMpvC,modern alternative rock
spotify:artist:3koiLjNrgRTNbOwViDipeA,neo soul
spotify:artist:3koiLjNrgRTNbOwViDipeA,classic soul
spotify:artist:3koiLjNrgRTNbOwViDipeA,motown
spotify:artist:3koiLjNrgRTNbOwViDipeA,northern soul
spotify:artist:3koiLjNrgRTNbOwViDipeA,quiet storm
spotify:artist:3koiLjNrgRTNbOwViDipeA,soul
spotify:artist:4csQIMQm6vI2A2SCVDuM2z,house
spotify:artist:4csQIMQm6vI2A2SCVDuM2z,gauze pop
spotify:artist:4csQIMQm6vI2A2SCVDuM2z,aussietronica
