duration_ms,explicit,name,popularity,uri,isrc
263013,True,OTW,64,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,USRC11801716
177666,False,3 Nights,68,spotify:track:1tNJrcVe6gwLEiZCtprs1u,USQX91802455
218106,False,Electric Love,75,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,USUM71416307
231466,False,Mayonesa,21,spotify:track:4w6bADSiZknuUHYCdhrk9q,GTA010700984
242096,False,Leave The Door Open,76,spotify:track:02VBYrHfVwfEWXk5DXyf0T,USAT22100906
219400,False,Fitzpleasure,59,spotify:track:3qVKp0bGG2uEkrkMOtwb5F,GBZUZ1100059
351573,False,Rasputin,59,spotify:track:5jkFvD4UJrmdoezzT1FRoP,DED167800008
186826,False,My Songs Know What You Did In The Dark (Light Em Up),71,spotify:track:2E43WFS4rRc09za2r2GmZl,USUM71300299
195666,False,Jerk It Out,57,spotify:track:1bx7OUl2UmAnA5oZkm9If7,SEVBU0200002
216773,False,Butterfly,56,spotify:track:6GQ3WTaNHMFlVmN4burGat,USSM19911429
241933,False,Just Dance,75,spotify:track:1dzQoRqT5ucxXVaAhTcT0J,USUM70807646
215160,True,So What,72,spotify:track:0JiY190vktuhSGN6aqJdrt,USLF20800067
246466,False,The Sweet Escape,67,spotify:track:07K4GcCDSTiXUF5ssyTRUM,USUM70618684
209800,False,Cry for You,63,spotify:track:1mvZErZBp7WZT3HfGBykao,SEWBD0600812
189693,False,4 Minutes (feat. Justin Timberlake & Timbaland),69,spotify:track:1oHClQEgDmmbcEx12Kc5nZ,USWB10903601
191000,False,When Love Takes Over (feat. Kelly Rowland),68,spotify:track:0GWGZA5mxo9nHuSyrj70uo,FRZID0900200
214386,True,U + Ur Hand,60,spotify:track:1iOJQhxKSJ7dg3Dk03yPnl,USLF20500242
234360,False,Closer,65,spotify:track:0GX5oOKtU0nnx5OkhenW2i,USUM70809378
310093,True,Shut Up,39,spotify:track:0koYRm9MYr86fdKyaBuSiG,USIR10311895
213173,False,3,54,spotify:track:6pymOcrCnMuCWdgGVTvUgP,USJI10900602
217133,False,Can't Fight The Moonlight - Graham Stack Radio Edit,39,spotify:track:5bvy0Q33TYaKxa4ZDHdG07,USCRB0000784
