,artist_uri,track_uri
194,spotify:artist:33yn5Dk8aG6YkVxPsoJyhe,spotify:track:7DuNHbeV251IqjbOGlq0xg
195,spotify:artist:5XGMQDMtmKNgCPrQ9FqUfL,spotify:track:7DuNHbeV251IqjbOGlq0xg
196,spotify:artist:1ppFAqWZIgv5c7huT7O3Aa,spotify:track:7DuNHbeV251IqjbOGlq0xg
197,spotify:artist:1MFnJX3ToRTuiRKnGQgHxT,spotify:track:6Obkph7IEeFfu0sDohdFIB
198,spotify:artist:5orR9ec1E60lLb1U76m3ul,spotify:track:6Obkph7IEeFfu0sDohdFIB
199,spotify:artist:2VKfXEWzhUi9siHBDTI02Y,spotify:track:7oJBVDLBCLZp62hVGMJNlX
200,spotify:artist:27DeRe5LjIt9ZPXUjF90h6,spotify:track:2CbTrKGpzbpMex9ar5myCc
201,spotify:artist:3ItwOheFhoNjZRCpnY5O9I,spotify:track:2CbTrKGpzbpMex9ar5myCc
202,spotify:artist:0j2falzYTCLSgKpGKQipQu,spotify:track:2CbTrKGpzbpMex9ar5myCc
203,spotify:artist:4NfMAQV9vkPudAdPGTDKSq,spotify:track:4Z1gZdDIGrnV7OvHdSyzJM
204,spotify:artist:7A1xxtVfUahU8u7Z4kKFRC,spotify:track:4Z1gZdDIGrnV7OvHdSyzJM
205,spotify:artist:1SqJPsQ1Xl7SqS7bNcea5P,spotify:track:4Z1gZdDIGrnV7OvHdSyzJM
206,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:21jV5VnJCpYrbSGVHpMxUC
207,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:79idMzBZwyG7evAHCe7ZOL
208,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:3GwXMUfYSSmF5IIgA0YwaQ
209,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:3LIKT2iUYOYVv6pQb1n9RK
210,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:0v4Jt18Ua4FhGA6Ojlnif6
211,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:4hFBaH1lByrNLiqkJNj55W
212,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:7mXOO0YXAgHd3SoMq3IEZ4
213,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:12Ue4oiRrLoHWB4yHEACiS
214,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:7B2b4WlN7AG3497ND2nt7o
215,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:7ju5lJ4uy8zLVvz2Foa72p
216,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:1yPRj9vRgGHg1pYRReTmkc
217,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:3ivIvxLPfi2x2BMTuzEd4A
218,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:48l7v474ZcffpHAwEhWKmo
219,spotify:artist:0cMk5GStIoC6EpV6bfs3HH,spotify:track:4udreNMAlG9dh0ZdzzOPhB
220,spotify:artist:1g1T8M9LWZWBVoR9lfqONe,spotify:track:0ucEbM8NVEvqiMgGRMtDL6
221,spotify:artist:4dhnaZpmAK9U6txAWBOjNH,spotify:track:51RV1pyEUgis0q3e0qjWvO
222,spotify:artist:22PXOfLIMiOylgjOqEhldF,spotify:track:4d0N31k5W6XT6zFGuTqgUA
223,spotify:artist:0A6ZWJg6LXb6uQJFrAXe5f,spotify:track:3t5vRVDPXtmxbxAb7cSU9F
224,spotify:artist:4NnepNbwflzw8FZMhPbrYf,spotify:track:2T5InXOszKca2gha7znUcB
225,spotify:artist:4dhnaZpmAK9U6txAWBOjNH,spotify:track:6YVf0rVY14v2AXuUjMfApq
226,spotify:artist:10olMza0CFCjqWM1DKgh7t,spotify:track:1wPD0vObgw668JYtp0shCm
227,spotify:artist:4NnepNbwflzw8FZMhPbrYf,spotify:track:0ilnvZ5FjJKmHhXKJqJ8b6
228,spotify:artist:22PXOfLIMiOylgjOqEhldF,spotify:track:1TzhZ2kyvlwnjiGsJeokMy
229,spotify:artist:4dhnaZpmAK9U6txAWBOjNH,spotify:track:6Denik2aSjduceo1x3IBsu
230,spotify:artist:0LdQMjy1eQS9CnDBgVLLR5,spotify:track:0MvjNYOHlyVpQ0NKV3sfAY
231,spotify:artist:5EnbpUtGIk2qPzGgNE75m0,spotify:track:3aCswZ5PsRftwHpEyfk1xw
232,spotify:artist:0VevbPTec9d8audiahBL3f,spotify:track:7r8Q5lPGmMyYccWfUlyGDl
233,spotify:artist:51OKtNtm24ALAjAHBMiFng,spotify:track:1T3cZR53E4yjWj3ajLUnp7
234,spotify:artist:2viciQWa7lV7FrogoaDvk8,spotify:track:1T3cZR53E4yjWj3ajLUnp7
235,spotify:artist:1u7DsNFbakULvxnDGtMm90,spotify:track:1T3cZR53E4yjWj3ajLUnp7
236,spotify:artist:1GVuCyb4PlArufUZDUnRQi,spotify:track:5IdKFsdqr1Emn1ZqqowfIk
