,track_name,plays,first_played,last_played,days_between,days_played
231,Wieso?,55,2017-10-02 18:40:01+00:00,2021-09-11 17:41:59+00:00,1439,37
232,Los Angeles,55,2021-03-04 13:09:05+00:00,2022-09-30 07:05:49+00:00,574,40
233,Holland,55,2016-06-02 19:51:10+00:00,2021-10-11 14:18:46+00:00,1956,28
234,Home To You,55,2022-01-06 21:34:36+00:00,2023-02-04 13:04:01+00:00,393,25
235,Stick Up,55,2019-02-27 09:09:18+00:00,2022-09-12 12:21:24+00:00,1293,37
236,Lieben wir,55,2021-11-04 09:59:00+00:00,2022-11-09 05:54:25+00:00,369,36
237,Atramis,54,2017-10-02 18:40:01+00:00,2021-02-23 12:08:05+00:00,1239,41
238,Gottverdammter Montagmorgen,54,2022-07-30 20:53:08+00:00,2023-04-21 15:16:04+00:00,264,36
239,Say Amen (Saturday Night),54,2018-06-22 17:19:42+00:00,2021-02-19 12:35:35+00:00,972,35
240,Oliver Twist,54,2021-07-03 15:56:37+00:00,2022-06-05 23:20:44+00:00,337,44
241,pille gegen einsamkeit,54,2021-10-31 19:52:44+00:00,2023-03-03 17:15:06+00:00,487,25
242,Nie verliebt,54,2022-01-09 20:33:01+00:00,2022-12-22 11:58:04+00:00,346,31
243,Ob wir zwei zusammen gehören,54,2021-12-07 07:52:52+00:00,2022-10-23 19:52:40+00:00,320,33
244,¿ Warum ?,54,2018-09-22 14:49:13+00:00,2021-03-01 18:26:19+00:00,891,40
245,¿ Was hast du gedacht ?,54,2018-09-20 12:08:44+00:00,2020-02-11 06:35:29+00:00,508,39
246,TP4L,54,2017-09-29 15:38:48+00:00,2022-08-04 11:39:56+00:00,1769,23
247,Replay,54,2019-08-09 10:43:24+00:00,2023-03-10 15:35:56+00:00,1309,49
248,Psychotic Kids,54,2018-11-28 15:31:13+00:00,2022-09-12 11:55:34+00:00,1383,41
249,Mama,53,2016-09-01 12:08:02+00:00,2022-02-15 19:00:42+00:00,1993,25
250,Gute Bekannte,53,2016-06-02 20:15:17+00:00,2021-10-15 12:38:51+00:00,1960,35
251,Meine Message,53,2017-07-20 14:18:19+00:00,2021-10-11 08:03:16+00:00,1543,38
252,Damals in der Schule,53,2016-06-02 15:44:14+00:00,2022-04-21 12:44:30+00:00,2148,17
253,Stressed Out,53,2016-05-11 17:55:59+00:00,2023-04-07 14:38:11+00:00,2521,33
254,Lieblingsmensch,52,2016-05-12 20:08:02+00:00,2021-08-12 06:33:36+00:00,1917,24
255,Fear Of The Fallen,52,2021-12-14 09:34:38+00:00,2023-05-14 14:28:04+00:00,516,36
256,Kiss Bang,52,2019-02-27 09:05:35+00:00,2022-10-08 14:08:59+00:00,1319,39
257,Fledermausland,52,2016-06-01 16:54:45+00:00,2022-07-07 10:01:10+00:00,2226,29
258,Sleepin,52,2018-10-30 06:23:47+00:00,2020-07-22 11:59:32+00:00,631,40
259,Fireflies,52,2019-08-08 12:41:23+00:00,2023-05-07 13:27:31+00:00,1368,43
260,Rabenväter,52,2017-05-18 21:24:10+00:00,2021-10-15 12:22:22+00:00,1610,31
261,Teamgeist,52,2017-05-30 07:27:32+00:00,2021-10-11 08:44:38+00:00,1595,28
262,Endlich normale Leute,52,2017-09-04 14:14:21+00:00,2022-07-28 10:24:42+00:00,1787,21
263,Timber (feat. Ke$ha),51,2016-05-17 11:57:18+00:00,2023-03-10 16:02:14+00:00,2488,40
264,Reality,51,2017-05-04 05:27:11+00:00,2023-01-30 13:57:13+00:00,2097,23
265,Gift,51,2021-06-28 08:10:36+00:00,2022-11-09 05:57:20+00:00,498,42
266,Backseat Serenade,51,2021-04-28 06:49:02+00:00,2022-11-04 06:28:57+00:00,554,36
267,King of the Clouds,51,2018-10-17 21:34:32+00:00,2023-04-12 11:00:30+00:00,1637,34
268,Vielleicht Vielleicht,51,2020-11-10 18:23:58+00:00,2022-07-14 14:16:14+00:00,610,34
