,artist_name,plays,songs,var,std
507,Haftbefehl,11,1,,
508,Adel Tawil,11,1,,
509,Champion Jack Dupree,11,1,,
510,Hans Theessink,11,1,,
511,Mert,11,1,,
512,Lostboi Lino,11,1,,
513,O.T. Genasis,11,1,,
514,MOLA,11,1,,
515,Booka Shade,11,1,,
516,LGoony,11,1,,
517,Miike Snow,11,1,,
518,DAT ADAM,11,1,,
519,The Lumineers,11,1,,
520,Dionysus,10,1,,
521,Mine,10,1,,
522,Gronkh & Sarazar (Die Superhomies),10,1,,
523,The Kid LAROI,10,1,,
524,Alvaro Soler,10,1,,
525,Ahzumjot,10,1,,
526,Nura,10,1,,
527,Berg,10,1,,
528,E I S U,10,1,,
529,Anti-Flag,10,1,,
530,Omaure,10,1,,
531,FloFilz,10,1,,
532,Beast In Black,10,1,,
533,Rockstah,10,1,,
534,Animal Trainer,10,1,,
535,smle,10,1,,
536,Macky Gee,10,1,,
537,Joyhauser,10,1,,
538,Brothers Moving,10,1,,
539,KSI,10,1,,
540,moow,10,1,,
541,Yungmon,10,1,,
542,John Legend,10,1,,
543,kramsen,10,1,,
544,Scarlet Pleasure,10,1,,
545,Sam Smith,10,1,,
546,Haiyti,10,1,,
547,Goody Grace,10,1,,
548,Dandy Livingstone,10,1,,
549,Yung Hurn,10,1,,
550,Night Lovell,10,1,,
551,Music Lab Collective,10,2,32.0,5.656854249492381
552,Rotfront,10,1,,
553,The Wellermen,9,1,,
554,Neon Trees,9,1,,
555,Marcus Miller,9,1,,
556,James Blunt,8,1,,
557,Allem Iversom,8,1,,
558,Limes,8,2,8.0,2.8284271247461903
559,The Neighbourhood,8,1,,
560,UNLOGIX,8,1,,
561,theAngelcy,8,1,,
562,Family of the Year,7,1,,
563,Flovry,7,2,4.5,2.1213203435596424
564,Men At Work,7,1,,
565,Squid Ethics,7,1,,
566,Yasper,6,1,,
567,The Longest Johns,6,1,,
568,Kesha,6,1,,
569,Axian,6,1,,
570,Aktive,6,1,,
571,In Love With a Ghost,6,1,,
572,digitalluc,6,1,,
573,Hans-Jurgen Hufeisen,6,1,,
574,Arbour,5,1,,
575,SwuM,5,2,0.5,0.7071067811865476
576,Harris Cole,5,1,,
577,Alec Troniq,5,1,,
578,Psalm Trees,5,1,,
579,Datsik,5,1,,
580,Stereoact,5,1,,
581,Maël & Jonas,5,1,,
582,Nothing But Thieves,5,1,,
583,Zedd,5,1,,
584,imagiro,5,1,,
585,LLUCID,4,1,,
586,Brandon Beal,4,1,,
587,SprayGod,4,1,,
588,The Overtones,4,1,,
589,Dennis Lloyd,4,1,,
590,HeXer,4,1,,
591,sophie meiers,4,1,,
592,Estugarda,4,1,,
593,drkmnd,4,1,,
594,CYNE,4,1,,
595,Aarigod,4,1,,
596,Erick the Architect,3,1,,
597,William Crighton,3,1,,
598,Meister Eder,3,1,,
599,Nohidea,3,1,,
600,goosetaf,3,1,,
601,Badflower,3,1,,
602,MEG MYERS,3,1,,
603,The xx,3,1,,
604,Logan and Isabel,3,1,,
605,Our Last Night,3,1,,
606,Less Gravity,3,1,,
607,H E R B,3,1,,
608,Alex & Sierra,3,1,,
609,Hustensaft Jüngling,3,2,0.5,0.7071067811865476
610,Ola W Jansson,3,1,,
611,Pierce Brothers,3,1,,
612,Lily Allen,3,2,0.5,0.7071067811865476
613,The Uptown Players,3,1,,
614,Zombie Americana,3,1,,
615,Conor Maynard,3,2,0.5,0.7071067811865476
616,Äl Jawala,3,1,,
617,Red Rat,3,1,,
618,Pool,3,1,,
619,Trevor Daniel,2,1,,
620,Cavetown,2,1,,
621,Sinceu,2,1,,
622,Sarcastic Sounds,2,1,,
623,RIOPY,2,1,,
624,Miscél,2,2,0.0,0.0
625,emawk,2,1,,
626,Ramsey Lewis,2,1,,
627,Hudson Harris & Haim,2,1,,
628,Aylior,2,1,,
629,soho,2,1,,
630,Jonathan Ogden,2,1,,
631,Adekunle Gold,2,1,,
632,The Piano Guys,2,1,,
633,Daniel Jang,2,2,0.0,0.0
634,Mount Dreams,2,1,,
635,LunchMoney Lewis,2,1,,
636,Chet Baker,2,2,0.0,0.0
637,Sean Koch,2,1,,
638,$uicideboy$,2,1,,
639,xander.,2,1,,
640,Måns Zelmerlöw,2,2,0.0,0.0
641,twocolors,2,1,,
642,Jessie J,2,1,,
643,Rihanna,2,1,,
644,Aso,2,1,,
645,Walking On Cars,2,1,,
646,You Me At Six,2,1,,
647,leaf beach,2,1,,
648,The Delta Saints,2,1,,
649,girlfriends,2,2,0.0,0.0
650,Niko Schwind,2,1,,
651,Mariah Carey,2,1,,
652,Tom Gregory,2,1,,
653,Zoe Wees,2,2,0.0,0.0
654,Samiam,2,1,,
655,ZHU,2,1,,
656,MERO,2,1,,
657,Lil Texas,2,1,,
658,Good Charlotte,2,1,,
659,Throttle,2,1,,
660,Emil Brandqvist,2,1,,
661,Paul Desmond,2,1,,
662,Leavv,2,1,,
663,Smooth Vanilla,2,1,,
664,Tchavolo Schmitt,2,1,,
665,Hevi,2,2,0.0,0.0
666,Cory Wong,2,1,,
667,Melodiesinfonie,2,1,,
668,Jesper Munk,2,1,,
669,The Field Tapes,2,1,,
670,Misha,2,1,,
671,Dirty Honey,2,1,,
672,Blue Wednesday,2,1,,
673,Buddy Johnson,1,1,,
674,Megaloh,1,1,,
675,instant era,1,1,,
676,WALK THE MOON,1,1,,
677,Danju,1,1,,
678,Nightcore Reality,1,1,,
679,Asmr,1,1,,
680,H.1,1,1,,
681,Eleni Drake,1,1,,
682,Melodores,1,1,,
683,Gaullin,1,1,,
684,mt. fujitive,1,1,,
685,NICK PROSPER,1,1,,
686,BOYS LIKE GIRLS,1,1,,
687,Jain,1,1,,
688,Paper Idol,1,1,,
689,Dysphoria,1,1,,
690,Jaill,1,1,,
691,LX,1,1,,
692,Nando033,1,1,,
693,Jomarijan,1,1,,
694,Ed Star,1,1,,
695,Sonn,1,1,,
696,Yomoti,1,1,,
697,Black Star,1,1,,
698,Not a Rapper,1,1,,
699,Two Sleepy,1,1,,
700,Rook1e,1,1,,
701,Catie Turner,1,1,,
702,Scary Pockets,1,1,,
703,Simber,1,1,,
704,New Town Kings,1,1,,
705,Tomppabeats,1,1,,
706,Pentatonix,1,1,,
707,Muse,1,1,,
708,weird inside,1,1,,
709,Rufi-O,1,1,,
710,Mad Kelly,1,1,,
711,Johny Grimes,1,1,,
712,Remzcore,1,1,,
713,Ckwnce,1,1,,
714,Saturn Night,1,1,,
715,The Macarons Project,1,1,,
716,Heretic Klick,1,1,,
717,Ryan Caraveo,1,1,,
718,Pabzzz,1,1,,
719,Sound Of Nature,1,1,,
720,Toonorth,1,1,,
721,WizTheMc,1,1,,
722,Big Gigantic,1,1,,
723,Alex Goot,1,1,,
724,Martin Jondo,1,1,,
725,Vorsa,1,1,,
726,MC Bomber,1,1,,
727,NEFFEX,1,1,,
728,frad,1,1,,
729,Flatbush Zombies,1,1,,
730,Silent Child,1,1,,
731,anaïs,1,1,,
732,Dag Nasty,1,1,,
733,Tracy Chapman,1,1,,
734,sad app,1,1,,
735,Smashymoo,1,1,,
736,JONA XX,1,1,,
737,Meredith Brooks,1,1,,
738,Unseen Dimensions,1,1,,
739,Alessia Cara,1,1,,
740,Dotan,1,1,,
741,POWERS,1,1,,
742,Farin Urlaub,1,1,,
743,Divided Minds,1,1,,
744,MGMT,1,1,,
745,The Bottom Line,1,1,,
746,Boston Manor,1,1,,
747,Max Jury,1,1,,
748,Juse Ju,1,1,,
749,Borgore,1,1,,
750,Hollow Coves,1,1,,
751,Common Kings,1,1,,
