,duration_ms_x,explicit,name,popularity,uri,orig_uri,isrc,acousticness,danceability,duration_ms_y,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
60,203574,False,Say a Little Prayer - Live,54,spotify:track:1ZczOoLuCyDO5dKUPndxf5,spotify:track:1ZczOoLuCyDO5dKUPndxf5,GBAHT1600336,0.84,0.492,203574,0.326,0.0,4,0.696,-6.416,0,0.0505,112.218,4,0.376
61,198066,False,Frische Luft,46,spotify:track:4o3psLfmwQ1z3GzU6LuScy,spotify:track:4o3psLfmwQ1z3GzU6LuScy,DEUM71604947,0.137,0.669,198067,0.757,0.0,4,0.108,-5.856,1,0.0563,134.026,4,0.421
62,216000,False,Weck mich nicht auf,40,spotify:track:78PWeRjBjLVcdkKjqngkur,spotify:track:78PWeRjBjLVcdkKjqngkur,DEUM71722589,0.19,0.711,216000,0.675,0.0,11,0.235,-5.082,1,0.0388,129.046,4,0.561
63,209306,False,Feuerwerk,56,spotify:track:3GRoxbBauU8Ui1zUJwn9aD,spotify:track:3GRoxbBauU8Ui1zUJwn9aD,DEUM71604946,0.123,0.662,209307,0.797,4.15e-06,11,0.182,-5.777,1,0.0338,146.01,4,0.653
64,210320,False,An Wunder - Akustik Version,16,spotify:track:7beFKLQDg2MK8jl8krs9On,spotify:track:7beFKLQDg2MK8jl8krs9On,DEUM71801283,0.613,0.626,210320,0.368,1.09e-06,8,0.11,-9.838,1,0.0521,71.036,3,0.186
65,201960,False,Nur ein Herzschlag entfernt,44,spotify:track:3lzSpq0cp3mmld7Dpeys8G,spotify:track:3lzSpq0cp3mmld7Dpeys8G,DEUM71601969,0.0752,0.669,201960,0.602,0.0,1,0.113,-7.067,0,0.05,126.922,4,0.589
66,241038,False,Regenbogen - Achtabahn Club Edit,10,spotify:track:35HjDMPVUOFVC104p9bWbz,spotify:track:35HjDMPVUOFVC104p9bWbz,DEUM71502935,0.0349,0.833,241039,0.464,9.43e-05,7,0.382,-9.269,0,0.0679,119.982,4,0.243
67,225773,True,This Is America,67,spotify:track:0b9oOr2ZgvyQu88wzixux9,spotify:track:0b9oOr2ZgvyQu88wzixux9,USRC11801773,0.117,0.854,225773,0.463,0.0,5,0.354,-6.159,1,0.137,120.024,4,0.549
68,179512,True,BOOM,64,spotify:track:6iC7vapdKp0XlKhxOkp8QJ,spotify:track:7i5sdKCjFIYlD9idhZBijJ,CYA111800003,0.0164,0.886,179512,0.84,0.00622,2,0.329,-3.386,1,0.0502,123.035,4,0.203
69,193320,False,Born To Be Yours,49,spotify:track:2hoigtnMAjSejRi1hHk99w,spotify:track:2hoigtnMAjSejRi1hHk99w,SEBGA1802355,0.3,0.688,193321,0.688,0.0,3,0.0982,-5.84,1,0.0357,114.011,4,0.451
70,202440,True,FRIENDS - Borgeous Remix,37,spotify:track:1QdG3nKKTrNWlN9x9t1cH6,spotify:track:1QdG3nKKTrNWlN9x9t1cH6,GBAHS1800240,0.0246,0.439,202440,0.847,0.0,0,0.139,-6.258,1,0.242,114.099,4,0.298
