duration_ms,explicit,name,popularity,uri,orig_uri,isrc
219186,False,What If (I Told You I Like You),62,spotify:track:4v7DgEMw6EvYyuQ4eWFD9l,spotify:track:4v7DgEMw6EvYyuQ4eWFD9l,CAGFE1800001
220140,False,Midnight (feat. Liam Payne),54,spotify:track:4ZTTUAjJCd4NMZmIU7RB4c,spotify:track:4ZTTUAjJCd4NMZmIU7RB4c,USUG12000913
189283,False,For Your Love,35,spotify:track:7c5CreqS7V42ieapzMSnAg,spotify:track:1xr2OxQyZCLdcogmFU53PP,USCJY2076000
182920,False,No One Compares To You,55,spotify:track:4cZ3UsiKd1kUQIaq4BFIj2,spotify:track:4cZ3UsiKd1kUQIaq4BFIj2,USUM71815776
217866,False,Two of Us,54,spotify:track:1eqwjXdMTed8Pz3PLNcHe9,spotify:track:1eqwjXdMTed8Pz3PLNcHe9,GBHMU1900014
193749,False,Lights Are On,76,spotify:track:4IhTXiZLKATmwhMZIb1GQN,spotify:track:4IhTXiZLKATmwhMZIb1GQN,GBVHN1800009
174586,False,this is how you fall in love,67,spotify:track:1aEsTgCsv8nOjEgyEoRCpS,spotify:track:1aEsTgCsv8nOjEgyEoRCpS,USUM72024519
127464,True,Chandelier,69,spotify:track:1cwqP7Tyxu5z8XDYoPkNte,spotify:track:3REELyDyt5SPKX2387Zubv,QM24S2009107
107267,True,One Way,24,spotify:track:61y9kqy2ka8dDvUfwOFxBA,spotify:track:61y9kqy2ka8dDvUfwOFxBA,DEKF22101236
260640,True,Dark Times,58,spotify:track:6J7PIkhtHwmFjPLq0SyuPj,spotify:track:6J7PIkhtHwmFjPLq0SyuPj,USUG11500929
153809,True,Daisies,29,spotify:track:3xTY1ZFh1md781DtPHodkv,spotify:track:3xTY1ZFh1md781DtPHodkv,QZLSH2100013
173733,True,FEELING THIS BAD NEVER FELT SO GREAT,51,spotify:track:06DZwL9QE5wTRdtxVbxJrL,spotify:track:2JzZjhhGo3Wi24MbI3tjPf,USQX92100212
188285,True,Lithromantic,33,spotify:track:55llRS1F5D41ybr6B9QpiM,spotify:track:27ttJZEvVuAYy7USdob8Gs,AEA0D2133614
202226,False,Dance with Me Tonight,65,spotify:track:1FSWSs9CL01RCYxXtm08Rf,spotify:track:1FSWSs9CL01RCYxXtm08Rf,GBARL1101197
153190,False,Ghost,84,spotify:track:6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,USUM72102635
218808,False,sex,58,spotify:track:26ZX2JrAb8AFbr8FFfAsO7,spotify:track:26ZX2JrAb8AFbr8FFfAsO7,USUG11600369
220918,False,Moon,50,spotify:track:1XpAZlfENlrHalIvuhAp9R,spotify:track:1XpAZlfENlrHalIvuhAp9R,USQX92102063
232813,True,I AM WOMAN,66,spotify:track:3nOz1U41SZZ0N3fuUWr9nb,spotify:track:3nOz1U41SZZ0N3fuUWr9nb,USAR12100239
135000,False,Isabelle,56,spotify:track:1w9L6dvttZalWd8XqFYvSa,spotify:track:1w9L6dvttZalWd8XqFYvSa,USANG2169273
183786,True,GO TO HELL,49,spotify:track:55XRXhQeU25IwqVpjQqxkz,spotify:track:55XRXhQeU25IwqVpjQqxkz,USSM12107763
188504,False,Problems,47,spotify:track:5fgHQws1Cj6KDLQmlqM6lF,spotify:track:5fgHQws1Cj6KDLQmlqM6lF,USUM71918675
188160,False,see you later (ten years),62,spotify:track:7FKkswFflI5Txc3Y4gH0IB,spotify:track:5elofKuRmgZmCVImWT6JtE,QM24S2105931
219801,False,Someone To You,74,spotify:track:2f0pn9DkEJwAzXApnFh5cr,spotify:track:2f0pn9DkEJwAzXApnFh5cr,USUM71705215
131824,False,Always Been You,68,spotify:track:53UMRr4KOgZP5Ins0aGlhs,spotify:track:2zpZkOV7sD9C4Cv0cukoHV,USQX92105571
162797,False,Nothing,72,spotify:track:1lORkxEMmsCZqhoxcmk3A3,spotify:track:2IAR0DziHCjSu16gR4ihvy,GBKPL1962806
144666,False,WYD Now?,65,spotify:track:3ZBeHiRJUj1vdiU8zzGPgb,spotify:track:3ZBeHiRJUj1vdiU8zzGPgb,QM3DF2182148
