artist_uri,isrc
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,GBAHS1800025
spotify:artist:1zNqDE7qDGCsyzJwohVaoX,GBAHS1800025
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,USUG11900610
spotify:artist:3CjlHNtplJyTf9npxaPl5w,USUG11900610
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,USUG11801651
spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,USUG11801651
spotify:artist:6u8KyY2rfBGDtDejRJ9JaQ,DETO31800168
spotify:artist:5zExRf0VQCl3GO4Jrj8r0s,FR8V41800056
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DECE71900622
spotify:artist:6h1s4i4XKIYv4ErDelLDN0,DECE71900622
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DECE71900623
spotify:artist:6h1s4i4XKIYv4ErDelLDN0,DECE71900623
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DECE71900628
spotify:artist:6h1s4i4XKIYv4ErDelLDN0,DECE71900628
spotify:artist:5Yo5iU2nf4H41waPl4ZnS1,DECE71900628
spotify:artist:246dkjvS1zLTtiykXe5h60,USUM71710087
spotify:artist:1URnnhqYAYcrqrcwql10ft,USUM71710087
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,USRC11701901
spotify:artist:6LuN9FCkKOj5PcnpouEgny,USRC11701901
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,CA6D21600147
spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,USUM71712103
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,USUM71712103
spotify:artist:3TOqt5oJwL9BE2NG9MEwDa,USRE11500180
spotify:artist:3v6Ji4uoWtKRkhuDUaxi9n,QZ22B1859046
spotify:artist:1OAjDaKgg00KCUYqDe68un,QZ22B1859046
spotify:artist:5pUo3fmmHT8bhCyHE52hA6,GBUM71701628
spotify:artist:0VRj0yCOv2FXJNP47XQnx5,GBUM71701628
spotify:artist:6cNWiizYLCClZdnIvqU968,DEYA11900063
